pattern,pilot
A N,hourly pays
A N,ORDINARY FOLK-TALES
A,triples
N,pitch-tracks
A N,base models
N N,LSTM models
A N P N,peak values of the formant
N,strong-intensities
A,Upper-Bounds
A,heuristics
A N,rank scores
N,notations
N N,bootstrap resamplings
A N,context-dependent semanticss
A,non-differentiables
N,z-transformations
N P N N,ranges of the intensity scale
N,ground-truths
N,abscissas
A N,GPT-2 models
A N,benchmark systems
N,Hashtag-Query-Terms
N N,Data Preparations
A A N,Passive Aggressive classifiers
N,BiLSTMs
N,authorships
N P N,variants of Inter-CE
A N,emotional tests
N,datapoints
N,back-propagations
N,nominalizations
A,non-evaluatives
N,cross-clauses
A,perceptuals
N,tanhs
A,pfinals
A N,official evaluations
A N,emotional categorizations
N N,evaluation set-ups
N N,supervisor exams
A N,rank correlations
N,beam-searches
A,medians
N N,post-facto interviews
A N,pseudo-boolean optimizations
N P A N,productions of emotional speech
A N,generic vocabuaries
A N,discriminating features
N N,Ethics Committee
A,tie-breakings
N,particularies
N,word-senses
A N,passive aggressive
A N,standard back-propagations
N C N N,predication and cause predications
N,Z-tests
N,synsets
A,superscripts
A,grammaticals
A,beatifics
A N,alternative solutions
A,harmonics
A,italics
N N,sadness datasets
A N N,singular value decompositions
A N,states-of-the art methods
N,non-emotions
N,XLNets
N,lemmatizations
N,glottises
A,down-samplings
A,sigmoids
R,textuallies
A N,3-D audios
A,37dimensionals
N,high-coverages
A N,average lengths
N,vertice
N,secularizations
N,human-labels
A,demotionals
N,multi-clauses
N,co-references
N,No-Query-Terms
N N,mini-batch sizes
A N,naive baselines
A N,MOGA-based features
A,modals
N,EmoLexBis
N,ttests
N N,mood hashtags
A,N-grams
N,T-tests
N,holodecks
A,unessentials
N,interpolations
N,Bi-LSTMss
R,arbitrarilies
N,self-evaluations
A,blithes
N,stylometries
N,EmoDS-EVs
N,activation-deactivations
N,cepstrums
N,sMBRs
A,N-candidateses
A N,total anger
N,EmoDS-MLEs
N,asurrogates
A,audios
A,neutrals
N,nouns
A,linguistics
N,intensities
N,jitters
N,compressions
N,databases
A,states-of-the art
A,respectives
N,coherences
A,statisticals
A,manuals
N,layers
N,intuitions
A,nominals
A,gradients
N,disgusts
N,probabilities
N,inputs
A,implicits
N P N,meanings of words
A N,key components
N,deviations
N,frequencies
A,explicits
N,boredoms
N P N,states of the art
N,variances
N,models
N N,test results
N,dialogues
N,domains
R,explicitlies
N,durations
A,distincts
A,indicatives
A,coherents
R,implicitlies
N,graphs
N N,pilot studies
A,disgusteds
N,predictions
N,speakers
A,evocatives
N,components
N,dimensions
N,sentiments
N,methods
N,anticipations
N,vocabularies
N,frameworks
N,variables
N,representations
N,dejections
N,convergences
N,frames
N,sequences
N,sentences
N,outputs
N,clusters
N,pitches
N,biases
N,trainings
N,voices
N,contrasts
N,exaggerations
N,noises
A,realistics
N,discriminations
N,sensitivities
N,libraries
N,impulses
N,significances
N,engagements
N,anxieties
N,affections
N,agreements
N,SNoWs
N,personalities
N,silences
R,invariablies
N,factors
N,penalties
N,gains
N,HMMS
N,GCIS
N,LPCS
N,CNNS
N,RNNS
N,URLS
N,VAES
N,SVMS
N,DNN-HMMS
N,CRFS
N,MSFS
N,NPZCS
A N,explicit manners
A N,implicit manners
A N,mental healths
A N,physical healths
N,emods
N,turkers
N,grnns
N N,aann models
N,mfccs
N,hmms
N P A N,sets of basic emotion
A A N,conventional prosodic features
N,sgns
N,affective tweets
N,gcis
N,epochs
A N N N,neutral speech aann models
N,lpcs
N N,vad dimensions
N N,nlp applications
A N N,practical nlp applications
N P N,qualities of annotation
N N,classification results
A N P N,weighted sums of embedding
N,cnns
N P N,percentages of time
N,rnns
N,rmds
N P N,results of the experiment
A N N,high snr regions
N P N,models of emotion
A N P N,categorical models of emotion
A N P N,semantic orientations of word
A N,computational linguistics
N N,lpcc components
N N,plp coefficients
N N,lfpc components
N N,svdppmi embeddings
A N A N,linear prediction cepstral coefficients
A N N,benchmark ece corpus
N P N,distributions of emotion
A N,alternative approaches
N P N,recognition of emotions
N N,lp analysis
N P N N,sets of cause clause
N N,nlp tasks
N P N,classifications of emotion
N N,naïve bayes
N,lstms
N,wlpccs
N,urls
N N,lpc coefficients
N N,bws annotations
N N,ece corpus
A N N,glottal closure instants
N,vaes
N N,event analysis
N P A N,notions of basic emotion
A N,emolexwal rows
A N P N,emotional affinities of sentence
N P N,sets of tuple
A N P N N,larger numbers of affect lexicon
N N,mfcc coefficients
N N,bleu scores
N P N,meanings of the sentence
N N,emolexgi rows
N N N,weibo post-response pairs
N N,mfcc components
A A A N,syntactic story-related orthographic conjunctions
A N N,higher readability scores
A N,vocal cues
N A N,frequency cepstral coefficients
A N N,traditional ece methods
N N,context windows
N P N N,sets of emotion clause
N,perturbations
A N,experimental settings
N,keras
N,emods-bs
N,f-scores
N P N,typess of feature
N N,amt workers
N P N N,descriptions of character emotion
N P N,diversities of response
N N,emotion-channel associations
N,multi-words
N,svms
N,dnn-hmms
N,crfs
N,lpccs
N,msfs
N,vertexes
N,bi-lstms
A,n-candidates
N,npzcs
N P N,meanings of word
